ECE2002,0287,A11+A12+A13,AB201,Abhay Vidyarthi
MAT2001,0151,B11+B12,AB507,Rabia Musheer
CSE2003,0377,C11+C12+C13,AB404,M. Suresh
MGT1002,0665,D11+D12,LC204,Bhavana B
MEE2014,0255,E11+E12+E13,AB101,Abhishek S
CSE2006,0432,F11+F12,AB404,Mrityunjay S
